seed,round,policy,material_id,predicted_band_gap_ev,uncertainty_ev,true_band_gap_ev,absolute_error_ev,target_hit,formation_energy_ev_atom,energy_above_hull_ev_atom,is_stable_mp_flag,dimensionality_status,selection_reason,signal_level,signal_types,signal_rule_version,manual_review_required,budget_used,budget_total
1007,1,random,mp-2815,1.424546,0.04402,1.4648999999999996,0.040354,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.2.0,False,1,3
1007,2,random,mp-1023939,1.49275,0.133502,1.5539,0.06115,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
1007,3,random,mp-1018809,1.445232,0.032794,1.3361,0.109132,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.2.0,False,3,3
1007,1,static_topn,mp-1025874,1.508813,0.073528,1.5093,0.000487,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1007,2,static_topn,mp-1023939,1.521727,0.067627,1.5539,0.032173,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
1007,3,static_topn,mp-2815,1.424546,0.04402,1.4648999999999996,0.040354,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,highest target score from frozen initial model,D0,technical_event_only,0.2.0,False,3,3
1007,1,iterative,mp-1025874,1.508813,0.073528,1.5093,0.000487,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1007,2,iterative,mp-1018809,1.42885,0.054802,1.3361,0.09275,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,technical_event_only,0.2.0,False,2,3
1007,3,iterative,mp-1023939,1.48291,0.234382,1.5539,0.07099,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.2.0,False,3,3
1008,1,random,mp-1023939,1.521627,0.055533,1.5539,0.032273,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1008,2,random,mp-1018809,1.430543,0.061619,1.3361,0.094443,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.2.0,False,2,3
1008,3,random,mp-2815,1.395701,0.048518,1.4648999999999996,0.069199,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.2.0,False,3,3
1008,1,static_topn,mp-1023939,1.521627,0.055533,1.5539,0.032273,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1008,2,static_topn,mp-1025874,1.497426,0.045663,1.5093,0.011874,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
1008,3,static_topn,mp-2815,1.451083,0.063791,1.4648999999999996,0.013817,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,highest target score from frozen initial model,D0,technical_event_only,0.2.0,False,3,3
1008,1,iterative,mp-1018809,1.448102,0.064344,1.3361,0.112002,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,technical_event_only,0.2.0,False,1,3
1008,2,iterative,mp-1023939,1.562373,0.090571,1.5539,0.008473,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
1008,3,iterative,mp-1025874,1.484578,0.057049,1.5093,0.024722,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.2.0,False,3,3
1009,1,random,mp-1023939,1.54752,0.035993,1.5539,0.00638,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1009,2,random,mp-2815,1.435947,0.038855,1.4648999999999996,0.028953,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.2.0,False,2,3
1009,3,random,mp-1018809,1.458402,0.035651,1.3361,0.122302,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.2.0,False,3,3
1009,1,static_topn,mp-1025874,1.509848,0.037708,1.5093,0.000548,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
